,wyId,FKGoalsOverExpected,count,TotalFKGoalsOverExpected,Full Name,shortName
24717,256992,-0.06359790762301516,21,-1.3355560600833185,Angelo Fulgini,A. Fulgini
24795,286223,-0.06417711222460605,21,-1.3477193567167272,Nicol\u00f2 Barella,N. Barella
24869,8717,-0.06424803482459678,21,-1.3492087313165322,Harry Kane,H. Kane
20407,8013,-0.0529126121704054,26,-1.3757279164305405,Marc Albrighton,M. Albrighton
13099,105541,-0.03721369735671918,37,-1.3769068021986097,Lucas P\u00e9rez Mart\u00ednez,Lucas P\u00e9rez
19709,254,-0.05135707169304458,27,-1.3866409357122036,Roberto Jos\u00e9 Rosales Altuve,R. Rosales
8357,388267,-0.0309135995812412,45,-1.391111981155854,Leon Bailey Butler,L. Bailey
22958,224971,-0.058053918968470786,24,-1.3932940552432989,Erik Thommy,E. Thommy
12875,20436,-0.036820363175143395,38,-1.399173800655449,Jos\u00e9 \u00c1ngel Vald\u00e9s D\u00edaz,Jos\u00e9 \u00c1ngel
24056,224680,-0.06126979749646153,23,-1.4092053424186153,Marius Wolf,M. Wolf
24107,62224,-0.06143351878596314,23,-1.4129709320771522,Ryan Fraser,R. Fraser
22696,14696,-0.05727892137757592,25,-1.431973034439398,Zlatko Junuzovi\u0107,Z. Junuzovi\u0107
9875,21842,-0.03270502886845567,44,-1.4390212702120495,Cristiano Biraghi,C. Biraghi
24616,208652,-0.06327043098831131,23,-1.45521991273116,Valentino Lazaro,V. Lazaro
11825,93000,-0.03486798387069498,42,-1.4644553225691892,Vitorino Gabriel  Pacheco Antunes,Antunes
13272,20820,-0.03776784815865965,39,-1.4729460781877262,Josip Ili\u010di\u0107,J. Ili\u010di\u0107
18742,3414,-0.04963941474567782,30,-1.4891824423703346,Ander Iturraspe Derteano,Iturraspe
10402,3282,-0.03338965961769819,45,-1.5025346827964188,Sergio Canales Madrazo,Canales
19321,3803,-0.05089017073902962,30,-1.5267051221708887,Sergi Darder Moll,Sergi Darder
11135,20815,-0.03415904441828382,45,-1.5371569988227718,Andrea Barberis,A. Barberis
4573,3484,-0.024838503415126872,62,-1.5399872117378661,Luis Alberto Romero Alconchel,Luis Alberto
